venue,symbol,interval,direction,close,range,body,body_pct,volume,start_time,end_time
lighter,BTC,15m,bearish,74841.40000000,302.20000000,121.20000000,40.10589014,112.42383000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74845.20000000,302.20000000,117.40000000,38.84844474,112.83621000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74847.30000000,302.20000000,115.30000000,38.15354070,112.88553000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74847.20000000,302.20000000,115.40000000,38.18663137,112.88760000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74853.30000000,302.20000000,109.30000000,36.16810060,112.98178000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74849.70000000,302.20000000,112.90000000,37.35936466,112.98183000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74849.10000000,302.20000000,113.50000000,37.55790867,113.01325000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74850.70000000,302.20000000,111.90000000,37.02845797,113.05507000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74850.50000000,302.20000000,112.10000000,37.09463931,113.05512000,1779891300000,1779892200000
`lighter,BTC,15m,bearish,74853.60000000,302.20000000,109.00000000,36.06882859,113.05543000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74851.20000000,302.20000000,111.40000000,36.86300463,113.05553000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74855.40000000,302.20000000,107.20000000,35.47319656,113.07701000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74857.60000000,302.20000000,105.00000000,34.74520185,113.14385000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74859.00000000,302.20000000,103.60000000,34.28193250,114.16558000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74857.60000000,302.20000000,105.00000000,34.74520185,114.16622000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74857.50000000,302.20000000,105.10000000,34.77829252,114.56622000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74850.40000000,302.20000000,112.20000000,37.12772998,114.57172000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74850.30000000,302.20000000,112.30000000,37.16082065,115.05849000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74850.30000000,302.20000000,112.30000000,37.16082065,115.05854000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74841.60000000,302.20000000,121.00000000,40.03970880,115.09874000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74841.60000000,302.20000000,121.00000000,40.03970880,115.22564000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74841.60000000,302.20000000,121.00000000,40.03970880,115.25552000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74841.80000000,302.20000000,120.80000000,39.97352747,115.34981000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74841.60000000,302.20000000,121.00000000,40.03970880,115.35315000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74841.70000000,302.20000000,120.90000000,40.00661813,115.35424000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74841.60000000,302.20000000,121.00000000,40.03970880,115.35505000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74841.60000000,303.00000000,121.00000000,39.93399340,120.39676000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74832.70000000,303.00000000,129.90000000,42.87128713,120.39748000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74831.70000000,303.00000000,130.90000000,43.20132013,120.43984000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74830.90000000,303.00000000,131.70000000,43.46534653,120.50654000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74834.40000000,303.00000000,128.20000000,42.31023102,120.51756000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74844.70000000,303.00000000,117.90000000,38.91089109,120.51822000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74829.20000000,303.00000000,133.40000000,44.02640264,125.52022000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74840.40000000,303.00000000,122.20000000,40.33003300,125.52074000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74840.00000000,303.00000000,122.60000000,40.46204620,125.54473000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74839.80000000,303.00000000,122.80000000,40.52805281,125.75368000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74835.30000000,303.00000000,127.30000000,42.01320132,125.84577000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74842.40000000,303.00000000,120.20000000,39.66996700,125.91424000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74848.40000000,303.00000000,114.20000000,37.68976898,125.91428000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74844.50000000,303.00000000,118.10000000,38.97689769,125.91448000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74859.40000000,303.00000000,103.20000000,34.05940594,125.92250000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74850.60000000,303.00000000,112.00000000,36.96369637,125.92276000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74837.30000000,303.00000000,125.30000000,41.35313531,125.92353000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74837.50000000,303.00000000,125.10000000,41.28712871,125.92358000,1779891300000,1779892200000
lighter,BTC,15m,bearish,74848.80000000,303.00000000,113.80000000,37.55775578,125.92824000,1779891300000,1779892200000
